y z u v
0.2172 -0.6586 0.1350 -0.3689
0.2172 -0.5483 0.1834 -0.4873
0.2172 -0.4379 0.2518 -0.6585
0.2172 -0.3276 0.3444 -0.9111
0.2172 -0.2172 0.4545 -1.2848
0.2172 -0.1069 0.5397 -1.8101
0.2172 0.0034 0.5145 -2.4272
0.2172 0.1138 0.3744 -2.9581
0.2172 0.2241 0.2135 -3.3300
0.2172 0.3345 0.0669 -3.5515
0.2172 0.4448 -0.0602 -3.6511
0.2172 0.5552 -0.1831 -3.6295
0.2172 0.6655 -0.3145 -3.4847
0.2172 0.7759 -0.4532 -3.1820
0.2172 0.8862 -0.5690 -2.7028
0.2172 0.9966 -0.5745 -2.0981
0.2172 1.1069 -0.4661 -1.5470
0.2172 1.2172 -0.3336 -1.1312
0.2172 1.3276 -0.2258 -0.8345
0.2172 1.4379 -0.1498 -0.6240
0.2172 1.5483 -0.0992 -0.4736
0.2172 1.6586 -0.0661 -0.3651
0.2172 1.7690 -0.0445 -0.2857
0.2172 1.8793 -0.0302 -0.2269
0.2172 1.9897 -0.0208 -0.1827
0.2172 2.1000 -0.0144 -0.1489
0.3621 -1.1000 0.0622 -0.1314
0.3621 -0.9897 0.0795 -0.1598
0.3621 -0.8793 0.1032 -0.1966
0.3621 -0.7690 0.1364 -0.2455
0.3621 -0.6586 0.1838 -0.3115
0.3621 -0.5483 0.2529 -0.4031
0.3621 -0.4379 0.3561 -0.5345
0.3621 -0.3276 0.5129 -0.7326
0.3621 -0.2172 0.7514 -1.0565
0.3621 -0.1069 1.0715 -1.6530
0.3621 0.0034 1.1293 -2.7099
0.3621 0.1138 0.6094 -3.2727
0.3621 0.2241 0.4319 -3.6750
0.3621 0.3345 0.1157 -3.7190
0.3621 0.4448 -0.0253 -3.9357
0.3621 0.5552 -0.2094 -3.7628
0.3621 0.6655 -0.4697 -3.7935
0.3621 0.7759 -0.6581 -3.4062
0.3621 0.8862 -1.1374 -2.9494
0.3621 0.9966 -1.1290 -1.8810
0.3621 1.1069 -0.7891 -1.2427
0.3621 1.2172 -0.5265 -0.8887
0.3621 1.3276 -0.3527 -0.6640
0.3621 1.4379 -0.2393 -0.5087
0.3621 1.5483 -0.1647 -0.3964
0.3621 1.6586 -0.1151 -0.3131
0.3621 1.7690 -0.0816 -0.2504
0.3621 1.8793 -0.0588 -0.2025
0.3621 1.9897 -0.0429 -0.1656
0.3621 2.1000 -0.0317 -0.1368
0.5069 -1.1000 0.0728 -0.1126
0.5069 -0.9897 0.0923 -0.1341
0.5069 -0.8793 0.1189 -0.1611
0.5069 -0.7690 0.1555 -0.1951
0.5069 -0.6586 0.2073 -0.2384
0.5069 -0.5483 0.2821 -0.2940
0.5069 -0.4379 0.3942 -0.3660
0.5069 -0.3276 0.5703 -0.4596
0.5069 -0.2172 0.8719 -0.5820
0.5069 -0.1069 1.4976 -0.7366
0.5069 0.0034 0.0000 0.0000
0.5069 0.1138 0.0000 0.0000
0.5069 0.2241 0.0000 0.0000
0.5069 0.3345 0.0000 0.0000
0.5069 0.4448 0.0000 0.0000
0.5069 0.5552 0.0000 0.0000
0.5069 0.6655 0.0000 0.0000
0.5069 0.7759 0.0000 0.0000
0.5069 0.8862 0.0000 0.0000
0.5069 0.9966 -1.6198 -0.8479
0.5069 1.1069 -0.9245 -0.6921
0.5069 1.2172 -0.5947 -0.5613
0.5069 1.3276 -0.4022 -0.4563
0.5069 1.4379 -0.2800 -0.3720
0.5069 1.5483 -0.1989 -0.3042
0.5069 1.6586 -0.1437 -0.2499
0.5069 1.7690 -0.1053 -0.2063
0.5069 1.8793 -0.0783 -0.1714
0.5069 1.9897 -0.0589 -0.1432
0.5069 2.1000 -0.0449 -0.1205
0.6517 -1.1000 0.0779 -0.0921
0.6517 -0.9897 0.0974 -0.1067
0.6517 -0.8793 0.1233 -0.1237
0.6517 -0.7690 0.1579 -0.1435
0.6517 -0.6586 0.2050 -0.1655
0.6517 -0.5483 0.2701 -0.1884
0.6517 -0.4379 0.3612 -0.2082
0.6517 -0.3276 0.4906 -0.2134
0.6517 -0.2172 0.6721 -0.1725
0.6517 -0.1069 0.8901 0.0020
0.6517 0.0034 0.9073 0.4120
0.6517 0.1138 0.5665 0.5768
0.6517 0.2241 0.3847 0.6659
0.6517 0.3345 0.1424 0.6147
0.6517 0.4448 -0.0096 0.6749
0.6517 0.5552 -0.1826 0.5938
0.6517 0.6655 -0.3975 0.6413
0.6517 0.7759 -0.5852 0.5284
0.6517 0.8862 -0.9104 0.3928
0.6517 0.9966 -0.9291 -0.0330
0.6517 1.1069 -0.7055 -0.2295
0.6517 1.2172 -0.5115 -0.2763
0.6517 1.3276 -0.3718 -0.2693
0.6517 1.4379 -0.2730 -0.2445
0.6517 1.5483 -0.2027 -0.2152
0.6517 1.6586 -0.1521 -0.1866
0.6517 1.7690 -0.1153 -0.1608
0.6517 1.8793 -0.0883 -0.1381
0.6517 1.9897 -0.0682 -0.1187
0.6517 2.1000 -0.0532 -0.1022
0.7966 -1.1000 0.0780 -0.0720
0.7966 -0.9897 0.0958 -0.0806
0.7966 -0.8793 0.1184 -0.0895
0.7966 -0.7690 0.1475 -0.0981
0.7966 -0.6586 0.1849 -0.1048
0.7966 -0.5483 0.2327 -0.1069
0.7966 -0.4379 0.2927 -0.0991
0.7966 -0.3276 0.3645 -0.0720
0.7966 -0.2172 0.4391 -0.0105
0.7966 -0.1069 0.4885 0.0989
0.7966 0.0034 0.4667 0.2383
0.7966 0.1138 0.3699 0.3491
0.7966 0.2241 0.2445 0.4124
0.7966 0.3345 0.1147 0.4389
0.7966 0.4448 -0.0115 0.4435
0.7966 0.5552 -0.1370 0.4289
0.7966 0.6655 -0.2640 0.3943
0.7966 0.7759 -0.3869 0.3256
0.7966 0.8862 -0.4834 0.2123
0.7966 0.9966 -0.5081 0.0683
0.7966 1.1069 -0.4581 -0.0477
0.7966 1.2172 -0.3791 -0.1133
0.7966 1.3276 -0.3021 -0.1412
0.7966 1.4379 -0.2372 -0.1473
0.7966 1.5483 -0.1855 -0.1421
0.7966 1.6586 -0.1452 -0.1317
0.7966 1.7690 -0.1141 -0.1193
0.7966 1.8793 -0.0901 -0.1067
0.7966 1.9897 -0.0715 -0.0947
0.7966 2.1000 -0.0572 -0.0837
